toponimo	provincia	lon	lat
tauche	gemeinde (BB)	14.160976	52.153119
woltersdorf	gemeinde (BB)	13.756782	52.450193
brieskow-finkenheerd	gemeinde (BB)	14.576398	52.251075
groß lindow	gemeinde (BB)	14.531031	52.235314
vogelsang	gemeinde (BB)	14.663918	52.181972
wiesenau	gemeinde (BB)	14.591206	52.230713
ziltendorf	gemeinde (BB)	14.624316	52.206164
lawitz	gemeinde (BB)	14.635461	52.106323
neißemünde	gemeinde (BB)	14.699259	52.064489
neuzelle	gemeinde (BB)	14.648753	52.090954
berkenbrück	gemeinde (BB)	14.148048	52.352247
briesen (mark)	gemeinde (BB)	14.277635	52.344886
jacobsdorf	gemeinde (BB)	14.354154	52.338669
steinhöfel	gemeinde (BB)	14.165947	52.400101
bad saarow	gemeinde (BB)	14.062758	52.292978
diensdorf-radlow	gemeinde (BB)	14.063444	52.241128
